Wavelength (nm)	Extinction Coefficient
100	      0.004588566
100.0901713	0.004602116
100.1805054	0.004615726
100.2710027	0.004629397
100.3616637	0.004643128
100.4524887	0.004656921
100.5434783	0.004670775
100.6346328	0.004684691
100.7259528	0.00469867
100.8174387	0.004712711
100.9090909	0.004726815
101.0009099	0.004740982
101.0928962	0.004755213
101.1850501	0.004769509
101.2773723	0.004783869
101.369863	0.004798294
101.4625229	0.004812784
101.5553522	0.00482734
101.6483516	0.004841962
101.7415215	0.00485665
101.8348624	0.004871406
101.9283747	0.004886229
102.0220588	0.004901119
102.1159154	0.004916078
102.2099448	0.004931105
102.3041475	0.004946201
102.398524	0.004961367
102.4930748	0.004976603
102.5878004	0.004991909
102.6827012	0.005007285
102.7777778	0.005022733
102.8730306	0.005038252
102.9684601	0.005053843
103.0640669	0.005069507
103.1598513	0.005085244
103.255814	0.005101054
103.3519553	0.005116937
103.4482759	0.005132896
103.5447761	0.005148928
103.6414566	0.005165037
103.7383178	0.00518122
103.8353601	0.00519748
103.9325843	0.005213817
104.0299906	0.005230231
104.1275797	0.005246722
104.2253521	0.005263291
104.3233083	0.005279939
104.4214487	0.005296667
104.519774	0.005313473
104.6182846	0.00533036
104.7169811	0.005347328
104.815864	0.005364376
104.9149338	0.005381506
105.0141911	0.005398719
105.1136364	0.005416014
105.2132701	0.005433392
105.313093	0.005450854
105.4131054	0.005468401
105.513308	0.005486032
105.6137012	0.005503748
105.7142857	0.005521551
105.815062	0.00553944
105.9160305	0.005557416
106.017192	0.005575479
106.1185468	0.005593631
106.2200957	0.005611872
106.3218391	0.005630202
106.4237776	0.005648622
106.5259117	0.005667132
106.6282421	0.005685734
106.7307692	0.005704427
106.8334937	0.005723213
106.9364162	0.005742091
107.0395371	0.005761063
107.1428571	0.005780129
107.2463768	0.00579929
107.3500967	0.005818546
107.4540174	0.005837899
107.5581395	0.005857348
107.6624636	0.005876894
107.7669903	0.005896539
107.8717201	0.005916282
107.9766537	0.005936124
108.0817916	0.005956066
108.1871345	0.005976109
108.2926829	0.005996253
108.3984375	0.0060165
108.5043988	0.006036848
108.6105675	0.006057301
108.7169442	0.006077857
108.8235294	0.006098518
108.9303238	0.006119285
109.0373281	0.006140158
109.1445428	0.006161137
109.2519685	0.006182225
109.3596059	0.006203421
109.4674556	0.006224726
109.5755183	0.006246141
109.6837945	0.006267666
109.7922849	0.006289303
109.9009901	0.006311053
110.0099108	0.006332915
110.1190476	0.006354891
110.2284012	0.006376981
110.3379722	0.006399187
110.4477612	0.006421509
110.5577689	0.006443948
110.667996	0.006466505
110.7784431	0.006489181
110.8891109	0.006511975
111	      0.00653489
111.1111111	0.006557927
111.2224449	0.006581085
111.334002	0.006604366
111.4457831	0.006627771
111.5577889	0.0066513
111.6700201	0.006674955
111.7824773	0.006698736
111.8951613	0.006722645
112.0080727	0.006746681
112.1212121	0.006770847
112.2345804	0.006795143
112.3481781	0.006819569
112.4620061	0.006844128
112.5760649	0.006868819
112.6903553	0.006893645
112.804878	0.006918605
112.9196338	0.006943701
113.0346232	0.006968933
113.1498471	0.006994304
113.2653061	0.007019813
113.381001	0.007045461
113.4969325	0.007071251
113.6131013	0.007097182
113.7295082	0.007123256
113.8461538	0.007149475
113.963039	0.007175838
114.0801644	0.007202347
114.1975309	0.007229003
114.315139	0.007255807
114.4329897	0.007282761
114.5510836	0.007309865
114.6694215	0.007337121
114.7880041	0.007364529
114.9068323	0.007392091
115.0259067	0.007419808
115.1452282	0.007447681
115.2647975	0.007475712
115.3846154	0.007503901
115.5046826	0.007532249
115.625	0.007560759
115.7455683	0.00758943
115.8663883	0.007618265
115.9874608	0.007647265
116.1087866	0.00767643
116.2303665	0.007705762
116.3522013	0.007735263
116.4742917	0.007764934
116.5966387	0.007794775
116.7192429	0.007824789
116.8421053	0.007854976
116.9652266	0.007885338
117.0886076	0.007915877
117.2122492	0.007946593
117.3361522	0.007977488
117.4603175	0.008008564
117.5847458	0.008039821
117.709438	0.008071262
117.8343949	0.008102887
117.9596174	0.008134699
118.0851064	0.008166698
118.2108626	0.008198887
118.336887	0.008231266
118.4631804	0.008263836
118.5897436	0.008296601
118.7165775	0.008329561
118.8436831	0.008362717
118.9710611	0.008396072
119.0987124	0.008429627
119.226638	0.008463383
119.3548387	0.008497342
119.4833154	0.008531505
119.612069	0.008565875
119.7411003	0.008600454
119.8704104	0.008635241
120   	0.00867024
120.1298701	0.008705453
120.2600217	0.00874088
120.3904555	0.008776523
120.5211726	0.008812385
120.6521739	0.008848468
120.7834603	0.008884772
120.9150327	0.008921299
121.046892	0.008958053
121.1790393	0.008995034
121.3114754	0.009032244
121.4442013	0.009069685
121.577218	0.00910736
121.7105263	0.00914527
121.8441273	0.009183417
121.978022	0.009221802
122.1122112	0.009260429
122.246696	0.009299299
122.3814774	0.009338414
122.5165563	0.009377776
122.6519337	0.009417387
122.7876106	0.00945725
122.923588	0.009497366
123.059867	0.009537738
123.1964484	0.009578368
123.3333333	0.009619257
123.4705228	0.009660409
123.6080178	0.009701826
123.7458194	0.009743509
123.8839286	0.009785461
124.0223464	0.009827684
124.1610738	0.009870181
124.300112	0.009912955
124.4394619	0.009956006
124.5791246	0.009999339
124.7191011	0.010042955
124.8593926	0.010086856
125	      0.010131046
125.1409245	0.010175527
125.282167	0.010220301
125.4237288	0.010265371
125.5656109	0.01031074
125.7078143	0.01035641
125.8503401	0.010402384
125.9931896	0.010448664
126.1363636	0.010495254
126.2798635	0.010542155
126.4236902	0.010589372
126.5678449	0.010636906
126.7123288	0.010684761
126.8571429	0.010732939
127.0022883	0.010781444
127.1477663	0.010830278
127.293578	0.010879444
127.4397245	0.010928945
127.5862069	0.010978785
127.7330265	0.011028967
127.8801843	0.011079492
128.0276817	0.011130366
128.1755196	0.01118159
128.3236994	0.011233169
128.4722222	0.011285105
128.6210892	0.011337402
128.7703016	0.011390062
128.9198606	0.011443091
129.0697674	0.01149649
129.2200233	0.011550263
129.3706294	0.011604414
129.5215869	0.011658947
129.6728972	0.011713864
129.8245614	0.011769171
129.9765808	0.011824869
130.1289566	0.011880963
130.2816901	0.011937458
130.4347826	0.011994355
130.5882353	0.01205166
130.7420495	0.012109377
130.8962264	0.012167508
131.0507674	0.012226059
131.2056738	0.012285033
131.3609467	0.012344434
131.5165877	0.012404267
131.6725979	0.012464536
131.8289786	0.012525244
131.9857313	0.012586396
132.1428571	0.012647997
132.3003576	0.012710051
132.4582339	0.012772562
132.6164875	0.012835535
132.7751196	0.012898975
132.9341317	0.012962885
133.0935252	0.013027271
133.2533013	0.013092138
133.4134615	0.013157489
133.5740072	0.013223331
133.7349398	0.013289668
133.8962606	0.013356504
134.057971	0.013423846
134.2200726	0.013491697
134.3825666	0.013560064
134.5454545	0.013628951
134.7087379	0.013698363
134.872418	0.013768307
135.0364964	0.013838787
135.2009744	0.013909809
135.3658537	0.013981379
135.5311355	0.014053502
135.6968215	0.014126183
135.8629131	0.014199429
136.0294118	0.014273246
136.196319	0.014347639
136.3636364	0.014422615
136.5313653	0.014498179
136.6995074	0.014574337
136.8680641	0.014651097
137.037037	0.014728464
137.2064277	0.014806444
137.3762376	0.014885045
137.5464684	0.014964272
137.7171216	0.015044133
137.8881988	0.015124634
138.0597015	0.015205782
138.2316314	0.015287584
138.40399	0.015370047
138.576779	0.015453178
138.75	0.015536984
138.9236546	0.015621473
139.0977444	0.015706652
139.272271	0.015792529
139.4472362	0.015879111
139.6226415	0.015966406
139.7984887	0.016054422
139.9747793	0.016143166
140.1515152	0.016232647
140.3286979	0.016322873
140.5063291	0.016413853
140.6844106	0.016505594
140.8629442	0.016598105
141.0419314	0.016691395
141.221374	0.016785472
141.4012739	0.016880346
141.5816327	0.016976025
141.7624521	0.017072518
141.943734	0.017169836
142.1254802	0.017267986
142.3076923	0.017366979
142.4903723	0.017466825
142.6735219	0.017567532
142.8571429	0.017669111
143.0412371	0.017771573
143.2258065	0.017874927
143.4108527	0.017979183
143.5963777	0.018084353
143.7823834	0.018190447
143.9688716	0.018297475
144.1558442	0.018405449
144.343303	0.01851438
144.53125	0.018624279
144.7196871	0.018735158
144.9086162	0.018847028
145.0980392	0.018959901
145.2879581	0.019073789
145.4783748	0.019188704
145.6692913	0.019304659
145.8607096	0.019421667
146.0526316	0.019539739
146.2450593	0.019658889
146.4379947	0.01977913
146.6314399	0.019900475
146.8253968	0.020022938
147.0198675	0.020146533
147.2148541	0.020271273
147.4103586	0.020397173
147.606383	0.020524247
147.8029294	0.02065251
148	      0.020781976
148.1975968	0.020912661
148.3957219	0.021044579
148.5943775	0.021177747
148.7935657	0.021312181
148.9932886	0.021447895
149.1935484	0.021584907
149.3943472	0.021723233
149.5956873	0.02186289
149.7975709	0.022003894
150   	0.022146264
150.202977	0.022290017
150.4065041	0.022435171
150.6105834	0.022581744
150.8152174	0.022729754
151.0204082	0.022879221
151.226158	0.023030163
151.4324693	0.0231826
151.6393443	0.023336551
151.8467852	0.023492037
152.0547945	0.023649078
152.2633745	0.023807695
152.4725275	0.023967909
152.6822558	0.024129741
152.892562	0.024293213
153.1034483	0.024458348
153.3149171	0.024625167
153.526971	0.024793694
153.7396122	0.024963952
153.9528433	0.025135965
154.1666667	0.025309756
154.3810848	0.025485351
154.5961003	0.025662774
154.8117155	0.025842051
155.027933	0.026023207
155.2447552	0.026206269
155.4621849	0.026391264
155.6802244	0.026578218
155.8988764	0.026767159
156.1181435	0.026958116
156.3380282	0.027151117
156.5585331	0.027346191
156.779661	0.027543368
157.0014144	0.027742678
157.223796	0.027944153
157.4468085	0.028147822
157.6704545	0.028353718
157.8947368	0.028561874
158.1196581	0.028772323
158.3452211	0.028985097
158.5714286	0.029200232
158.7982833	0.029417763
159.025788	0.029637724
159.2539455	0.029860152
159.4827586	0.030085084
159.7122302	0.030312558
159.9423631	0.030542611
160.1731602	0.030775283
160.4046243	0.031010613
160.6367583	0.031248642
160.8695652	0.031489411
161.1030479	0.031732962
161.3372093	0.031979338
161.5720524	0.032228582
161.8075802	0.032480739
162.0437956	0.032735854
162.2807018	0.032993974
162.5183016	0.033255145
162.7565982	0.033519415
162.9955947	0.033786835
163.2352941	0.034057452
163.4756996	0.034331319
163.7168142	0.034608487
163.9586411	0.034889009
164.2011834	0.035172939
164.4444444	0.035460333
164.6884273	0.035751246
164.9331352	0.036045737
165.1785714	0.036343862
165.4247392	0.036645683
165.6716418	0.036951259
165.9192825	0.037260654
166.1676647	0.03757393
166.4167916	0.037891153
166.6666667	0.038212388
166.9172932	0.038537704
167.1686747	0.038867168
167.4208145	0.039200851
167.673716	0.039538826
167.9273828	0.039881165
168.1818182	0.040227943
168.4370258	0.040579237
168.6930091	0.040935126
168.9497717	0.041295688
169.2073171	0.041661006
169.4656489	0.042031162
169.7247706	0.042406243
169.9846861	0.042786334
170.2453988	0.043171526
170.5069124	0.043561908
170.7692308	0.043957574
171.0323575	0.044358619
171.2962963	0.04476514
171.561051	0.045177235
171.8266254	0.045595008
172.0930233	0.04601856
172.3602484	0.046448
172.6283048	0.046883434
172.8971963	0.047324975
173.1669267	0.047772736
173.4375	0.048226833
173.7089202	0.048687385
173.9811912	0.049154514
174.2543171	0.049628344
174.5283019	0.050109004
174.8031496	0.050596622
175.0788644	0.051091334
175.3554502	0.051593276
175.6329114	0.052102587
175.911252	0.052619412
176.1904762	0.053143897
176.4705882	0.053676193
176.7515924	0.054216453
177.0334928	0.054764836
177.3162939	0.055321504
177.6  	0.055886621
177.8846154	0.056460359
178.1701445	0.05704289
178.4565916	0.057634394
178.7439614	0.058235053
179.0322581	0.058845055
179.3214863	0.059464592
179.6116505	0.060093862
179.9027553	0.060733065
180.1948052	0.061382411
180.4878049	0.062042111
180.781759	0.062712384
181.0766721	0.063393453
181.372549	0.064085549
181.6693944	0.064788907
181.9672131	0.06550377
182.2660099	0.066230385
182.5657895	0.066969008
182.8665568	0.067719901
183.1683168	0.068483332
183.4710744	0.069259578
183.7748344	0.070048923
184.079602	0.070851658
184.3853821	0.071668083
184.6921797	0.072498504
185	      0.073343238
185.3088481	0.074202611
185.6187291	0.075076956
185.9296482	0.075966617
186.2416107	0.076871946
186.5546218	0.077793307
186.8686869	0.078731072
187.1838111	0.079685627
187.5 	0.080657366
187.8172589	0.081646696
188.1355932	0.082654034
188.4550085	0.083679812
188.7755102	0.084724472
189.0971039	0.08578847
189.4197952	0.086872276
189.7435897	0.087976374
190.0684932	0.08910126
190.3945111	0.090247448
190.7216495	0.091415467
191.0499139	0.092605859
191.3793103	0.093819186
191.7098446	0.095056026
192.0415225	0.096316975
192.3743501	0.097602645
192.7083333	0.09891367
193.0434783	0.100250703
193.3797909	0.101614417
193.7172775	0.103005504
194.0559441	0.104424683
194.3957968	0.10587269
194.7368421	0.107350289
195.0790861	0.108858265
195.4225352	0.11039743
195.7671958	0.111968623
196.1130742	0.113572708
196.460177	0.115210579
196.8085106	0.116883157
197.1580817	0.118591395
197.5088968	0.120336278
197.8609626	0.122118822
198.2142857	0.123940077
198.568873	0.125801128
198.9247312	0.127703098
199.2818671	0.129647145
199.6402878	0.131634469
200	      0.133666308
200.3610108	0.135743944
200.7233273	0.137868701
201.0869565	0.140041951
201.4519056	0.142265111
201.8181818	0.144539647
202.1857923	0.146867076
202.5547445	0.14924897
202.9250457	0.151686951
203.2967033	0.154182702
203.6697248	0.156737963
204.0441176	0.159354534
204.4198895	0.162034281
204.797048	0.164779135
205.1756007	0.167591092
205.5555556	0.170472224
